,	，
,en	ㄣ
,enb	㆛
,eng	ㄥ
,env	✉
,eou	㋉
,eo.	⒑
,ep	⅟
,ep	∉
,epb	⅛
,epf	¼
,epl	⅙
,epr	½
,eps	⅓
,epw	⅕
,er	ㄦ
,er	π
,er	ㄫ
,ere	☲
,erl	ㄫ
,err	☶
,eru	㋋
,er.	⒓
,es	˙
,es	ξ
,es.	⒔
,eue	㋀
,eur	€
,eur	₠
,ew.	⒖
,ey	˙
,ez	→
,ezz	↠
,e.	⒈
,e.e	﹊
,e.e	﹎
,f	４
,f	Ⅳ
,f	ㄈ
,f	♀
,f	ⅳ
,f	㆕
,fa	㆘
,fa	☟
,fac	☹
,fac	☺
,fac	☻
,fb	✙
,fb	✚
,fe	㆖
,fe	☝
,fg	✈
,fgy	✈
,fir	☲
,fl	匸
,fm	㎙
,fn	□
,fn	■
,fn	◇
,fn	◆
,fn	█
,fn	▇
,fn	▆
,fn	▅
,fn	▂
,fpw	⅘
,fqu	☽
,fqu	☾
,fr	₣
,fra	₣
,fs	ˋ
,ft	✈
,fty	✈
,fu	∴
,fue	㋃
,fy	ˋ
,fy	♢
,fy	♦
,f.	⒋
,g	（
,g	ㄍ
,g	γ
,g	ˆ
,ga	⒜
,gae	㈮
,gb	⑻
,gb	㈧
,gb	⒝
,gb	㎇
,gbb	㈾
,gbi	㈾
,gbz	㈽
,gc	⑺
,gc	㈦
,gc	⒞
,gco	㈴
,gd	⒟
,gdo	㈰
,ge	⑴
,ge	㈠
,ge	⒠
,geb	⒅
,gec	⒄
,gee	⑾
,gef	⒁
,gek	⒆
,gel	⒃
,geo	⑽
,ger	⑿
,ges	⒀
,gew	⒂
,gf	⑷
,gf	㈣
,gf	⒡
,gfn	㈫
,gg	）
,gg	⒢
,ggv	︶
,ggv	︼
,ggv	︺
,ggv	︸
,ggv	︾
,ggv	﹀
,gh	⒣
,ghz	㎓
,gi	⒤
,gj	⑽
,gj	㈩
,gj	⒥
,gja	㉀
,gjb	⒅
,gjc	⒄
,gjd	㈿
,gje	⑾
,gjf	⒁
,gjk	⒆
,gjl	⒃
,gjr	⑿
,gjr	㉀
,gjs	⒀
,gjw	⒂
,gk	⑼
,gk	㈨
,gk	⒦
,gl	⑹
,gl	㈥
,gl	⒧
,gm	⒨
,gmb	㈶
,gmu	㈶
,gn	⒩
,gn	㆝
,gn	ㄬ
,gnn	㆝
,go	㈩
,go	⒪
,goh	㈺
,gp	⒫
,gpa	㎬
,gpa	㈹
,gpe	㉃
,gpm	㉂
,gpt	㉁
,gpx	㈹
,gq	⒬
,gr	⑵
,gr	㈡
,gr	⒭
,grf	㈼
,grj	⒇
,gro	⒇
,grr	㈷
,grs	㈳
,grs	㈷
,grv	㈼
,gry	㈳
,gs	⑶
,gs	㈢
,gs	⒮
,gsa	㈵
,gsd	㈸
,gsn	㈸
,gsn	㈻
,gsy	㈵
,gsz	㈻
,gt	⒯
,gtn	㈭
,gts	㈱
,gu	⒰
,gue	㈪
,gv	︵
,gv	︻
,gv	︹
,gv	︷
,gv	︽
,gv	︿
,gv	ˆ
,gv	⒱
,gw	⑸
,gw	㈤
,gw	⒲
,gwn	㈬
,gx	⒳
,gxu	㈲
,gy	⒴
,gy	✈
,gy	㏉
,gye	㈯
,gz	⒵
,h	ㄏ
,ha	♥
,ha	♡
,ha	❤
,ha	❥
,ha	❦
,ha	❧
,ha	㏊
,hat	∩
,hea	☰
,hea	♥
,hea	♡
,hea	❤
,hea	❥
,hea	❦
,hea	❧
,hh	♥
,hh	♡
,hh	❤
,hh	❥
,hh	❦
,hh	❧
,hj	☚
,hj	☛
,hj	☜
,hj	☝
,hj	☞
,hj	☟
,hp	☮
,hp	㏋
,hpa	㍱
,hz	㎐
,i	ㄧ
,i	∣
,i	︱
,i	丨
,i	亅
,iez	↦
,in	㏌
,ip	∤
,ipx	∤
,iu	ㄩ
,ix	＊
,iz	↓
,izz	↡
,j	Ⅹ
,j	ㄐ
,j	ㄓ
,j	十
,j	﹢
,j	ⅹ
,j	＋
,j	✙
,j	✚
,j	✛
,j	✜
,j	✝
,j	✞
,j	✟
,j	✠
,j	☩
,jb.	⒙
,jc.	⒘
,je	±
,je	Ⅺ
,je	ⅺ
,jeu	㋊
,je.	⒒
,jf.	⒕
,ji	ㄐ
,jis	〄
,jj	＋
,jj	＃
,jj	﹟
,jj	✙
,jj	✚
,jj	✛
,jj	✜
,jj	✝
,jj	✞
,jj	✟
,jj	✠
,jj	☩
,jjj	＃
,jjj	﹟
,jk.	⒚
,jl.	⒗
,jn	癶
,jnd	✙
,jnd	✚
,jnd	✛
,jnd	✜
,jnd	✝
,jnd	✞
,jnd	✟
,jnd	✠
,jnd	☩
,jp	癶
,jr	Ⅻ
,jr	ⅻ
,jru	㋋
,jr.	⒓
,js.	⒔
,jue	㋉
,jw.	⒖
,jx	＊
,jz	↬
,j.	⒑
,k	９
,k	Ⅸ
,k	ㄎ
,k	κ
,k	ⅸ
,ka	々
,ka	㎄
,kaa	々
,kb	㎅
,kca	㎉
,ke	₭
,kg	㎏
,khz	㎑
,kin	♔
,kin	♚
,kip	₭
,kk	㏍
,kl	㎘
,km	㎞
,km	㏎
,kmm	㎢
,kmm	㎦
,kmr	㎢
,kms	㎦
,kni	♘
,kni	♞
,ko	㏀
,koh	㏀
,kom	㏀
,kpa	㎪
,kt	㏏
,kue	㋈
,kv	㎸
,kw	㎾
,k.	⒐
,k.k	㏍
,l	６
,l	Ⅵ
,l	ㄌ
,l	λ
,l	∠
,l	∟
,l	〆
,l	〦
,l	ⅵ
,lak	☱
,lb	疒
,lc	℄
,le	￡
,le	⊥
,le	丄
,le	£
,lir	₤
,ll	∠
,lm	㏐
,ln	㏑
,log	㏒
,lov	♥
,lov	♡
,lov	❤
,lov	❥
,lov	❦
,lov	❧
,lp	ㄬ
,lr	≦
,lr	≧
,lr	₤
,lue	㋅
,lx	㏓
,lz	↪
,l.	⒍
,m	÷
,m	ㄇ
,m	♂
,m	ヾ
,m	ゞ
,m	＊
,m	﹏
,m	﹌
,m	﹋
,ma	㎃
,mb	㎆
,mb	㏔
,mg	㎎
,mhz	㎒
,mic	µ
,mil	㏕
,mil	₥
,ml	㎖
,mm	㎜
,mm	㎡
,mmm	㎟
,mmm	㎣
,mmm	㎥
,mmr	㎟
,mms	㎣
,mn	＊
,mo	㏁
,moh	㏁
,mol	㏖
,mom	㏁
,moo	☽
,moo	☾
,mou	☶
,mp	₥
,mpa	㎫
,mps	㎧
,mps	㎨
,mr	㎡
,ms	㎥
,ms	㎳
,mu	μ
,mu	µ
,mua	㎂
,mue	μ
,mue	㎛
,mue	µ
,muf	㎌
,mug	㎍
,mul	㎕
,mum	㎛
,mus	㎲
,muv	㎶
,muw	㎼
,mv	︴
,mv	㎷
,mv	㎹
,mw	㎽
,mw	㎿
,n	＼
,n	ㄋ
,n	∩
,n	η
,na	々
,na	㎁
,naa	々
,nai	₦
,nf	㎋
,ng	ㄫ
,nm	㎚
,nn	〝
,no	№
,no.	№
,nr	₦
,ns	㎱
,nu	₪
,nv	㎵
,nw	㎻
,ny	冖
,ny	宀
,ny	冂
,nz	↘
,nz	↯
,o	０
,o	●
,o	○
,o	ㄛ
,o	Ω
,o	ω
,o	°
,o	〇
,o	ο
,oa	＠
,oa	﹫
,oa	Ⓐ
,oa	ⓐ
,oae	㊎
,oa.	㋐
,ob	⑧
,ob	㊇
,ob	❽
,ob	➇
,ob	➑
,ob	Ⓑ
,ob	ⓑ
,ob	∵
,obb	☯
,obb	㊮
,obi	㊮
,obn	☹
,obu	☺
,obu	☻
,obz	㊭
,oc	⑦
,oc	㊆
,oc	❼
,oc	➆
,oc	➐
,oc	℃
,oc	Ⓒ
,oc	ⓒ
,oc	©
,oci	ↂ
,oci	㊥
,ocj	ↂ
,ocj	㊥
,oco	㊔
,od	Ⓓ
,od	ⓓ
,odo	㊐
,odu	☯
,oe	①
,oe	㊀
,oe	❶
,oe	➀
,oe	➊
,oe	Θ
,oe	Ⓔ
,oe	ⓔ
,oe	∵
,oeb	⑱
,oec	⑰
,oee	⑪
,oef	⑭
,oek	⑲
,oek	㉿
,oel	⑯
,oeo	⑩
,oeo	㊉
,oeo	❿
,oeo	➉
,oeo	➓
,oep	㊞
,oer	⑫
,oes	⑬
,oew	⑮
,oez	㊣
,oe.	㋓
,of	④
,of	㊃
,of	❹
,of	➃
,of	➍
,of	℉
,of	Ⓕ
,of	ⓕ
,ofa	㊦
,ofd	㊩
,ofe	㊤
,ofn	㊋
,ofv	㊩
,og	Ⓖ
,og	ⓖ
,ogx	㊛
,oh	Ⓗ
,oh	ⓗ
,oha	㋩
,ohe	㋬
,ohh	㊙
,ohi	㋪
,oho	㋭
,ohp	㊙
,ohu	㋫
,oi	Ⓘ
,oi	ⓘ
,oi	ↀ
,oib	㊠
,oio	ↂ
,oit	㊠
,oi.	㋑
,oj	⑩
,oj	㊉
,oj	❿
,oj	➉
,oj	➓
,oj	♀
,oj	⊕
,oj	Ⓙ
,oj	ⓙ
,ojb	⑱
,ojc	⑰
,ojd	㊯
,oje	⑪
,ojf	⑭
,oji	〄
,ojk	⑲
,ojl	⑯
,ojr	⑫
,ojs	⑬
,ojw	⑮
,ok	⑨
,ok	㊈
,ok	❾
,ok	➈
,ok	➒
,ok	Ⓚ
,ok	ⓚ
,ok	㉿
,oka	㋕
,oke	㉿
,oke	㋘
,oki	㋖
,oko	㋙
,oku	㋗
,ol	⑥
,ol	㊅
,ol	❻
,ol	➅
,ol	➏
,ol	Ⓛ
,ol	ⓛ
,oln	㊜
,olp	㊰
,olu	㊰
,olw	㊜
,olx	㊰
,om	Ⓜ
,om	ⓜ
,oma	㋮
,omb	㊖
,ome	㋱
,omg	Ω
,omi	㋯
,omo	㋲
,omu	㊖
,omu	㋰
,on	Ⓝ
,on	ⓝ
,ona	㋤
,one	㊢
,one	㋧
,oni	㋥
,onk	㊢
,ono	㋨
,onr	㊪
,ons	㊪
,onu	㋦
,oo	⓪
,oo	□
,oo	∞
,oo	◎
,oo	Ⓞ
,oo	ⓞ
,ooa	☹
,ood	☹
,ooi	ↂ
,oo.	㋔
,op	φ
,op	Ⓟ
,op	ⓟ
,op	∅
,opo	％
,opo	﹪
,opp	㊝
,opt	㊝
,opt	㊡
,oq	Ⓠ
,oqd	㊚
,or	②
,or	㊁
,or	❷
,or	➁
,or	➋
,or	Ⓡ
,or	ⓡ
,or	®
,ora	㋶
,ore	㋹
,orf	㊬
,ori	〶
,ori	㋷
,orj	⑳
,oro	⑳
,oro	㋺
,orr	㊗
,ors	㊓
,ors	㊗
,oru	㋸
,orv	㊬
,ory	㊓
,os	③
,os	㊂
,os	❸
,os	➂
,os	➌
,os	Ⓢ
,os	ⓢ
,os	☮
,os	☄
,osa	☯
,osa	㊕
,osa	㋚
,osb	☯
,osd	㊘
,ose	㋝
,osi	㋛
,osn	㊘
,osn	㊫
,oso	㋞
,osu	㋜
,osy	㊕
,osz	㊫
,os.	☯
,ot	Ⓣ
,ot	ⓣ
,ota	㋟
,ote	㋢
,oti	㋠
,otn	㊍
,oto	㋣
,ots	㊑
,otu	㋡
,ou	ㄡ
,ou	Ⓤ
,ou	ⓤ
,ou	☹
,oue	㊊
,ou.	㋒
,ov	Ⓥ
,ov	ⓥ
,ov	㍵
,ow	⑤
,ow	㊄
,ow	❺
,ow	➄
,ow	➎
,ow	Ⓦ
,ow	ⓦ
,owa	㊟
,owa	㋻
,owe	㋽
,owi	㋼
,owk	㊟
,own	㊌
,owo	㋾
,ox	Ⓧ
,ox	ⓧ
,oxi	㊧
,oxo	㊨
,oxu	㊒
,oxw	㊜
,oy	Ⓨ
,oy	ⓨ
,oya	㋳
,oye	㊏
,oyo	㋵
,oyu	㋴
,oyv	㊏
,oyy	☯
,oz	Ⓩ
,oz	ⓩ
,o.	⊙
,p	／
,p	ㄆ
,p	∕
,p	╱
,p	丿
,pa	㎀
,pa	㎩
,pa	㍻
,paa	㎀
,paw	♙
,paw	♟
,pc	￠
,pc	㍶
,pe	₧
,pea	☮
,pes	₧
,pf	㎊
,pf	☝
,pf	☟
,ph	㏗
,pi	π
,pi	卩
,pm	㏘
,po	φ
,pos	〒
,pos	〶
,pos	〠
,pou	£
,pp	
,pp	〞
,pp	〃
,ppm	㏙
,pr	≠
,pr	㏚
,ps	㎰
,pts	₧
,pu	ψ
,pv	㎴
,pw	㎺
,px	攵
,px	夂
,px	夊
,px	☚
,px	☛
,px	☜
,px	☞
,py	✉
,pz	↙
,p.m	㏘
,q	ㄑ
,q	θ
,q	╭
,q	╮
,q	╰
,q	╯
,q	╪
,q	≠
,qi	㆙
,qt	♠
,que	♕
,que	♛
,qx	≠
,r	２
,r	Ⅱ
,r	ㄖ
,r	ㄦ
,r	＝
,r	﹦
,r	〢
,r	═
,r	ⅱ
,r	㆓
,rad	㎭
,rad	㎮
,rad	㎯
,rat	∶
,re	卝
,re	＝
,ree	☱
,rer	☵
,res	₨
,ri	╡
,ri	〒
,ri	卝
,rii	〒
,riv	〠
,rj	卄
,rj.	⒛
,roo	♖
,roo	♜
,ro.	⒛
,rp	≠
,rps	⅔
,rpw	⅖
,rpx	≠
,rre	☳
,rrr	☷
,rs	ˊ
,rs	₨
,rue	㋁
,rup	₨
,ry	ˊ
,r.	⒉
,s	３
,s	Ⅲ
,s	ㄙ
,s	～
,s	＆
,s	≡
,s	﹠
,s	ⅲ
,s	㆔
,s	∼
,sa	ヾ
,sa	ゞ
,sa	巛
,sci	✁
,sci	✂
,sci	✃
,sci	✄
,se	≡
,set	∅
,sh	ㄕ
,sh	♥
,sh	♡
,sh	❤
,sh	❥
,sh	❦
,sh	❧
,she	₪
,shi	ㄕ
,shi	ㄒ
,si	＄
,si	﹩
,si	〣
,si	巛
,si	$
,sig	Σ
,sj	卅
,sm	Σ
,sn	△
,sn	▽
,sn	▲
,sn	▼
,sn	⊿
,sn	Δ
,sn	◥
,sn	◣
,sn	◤
,sn	◢
,sn	∆
,so	♂
,so	∮
,spa	♠
,spa	♤
,spb	⅜
,spf	¾
,spr	♨
,spw	⅗
,sr	♣
,sr	♧
,sr	㏛
,sr	≅
,sr	≌
,ss	§
,ss	ˇ
,ss	≈
,st	♤
,sta	★
,sta	☆
,sta	✩
,sta	✪
,sta	✫
,sta	✬
,sta	✭
,sta	✮
,sta	✯
,sta	✰
,sta	✡
,sue	㋂
,sun	☼
,sun	☉
,sun	☀
,sv	㏜
,sy	ˇ
,sz	↝
,s.	⒊
,t	ㄊ
,t	┬
,taa	㍿
,tar	㍿
,tel	℡
,tel	☎
,tel	☏
,tel	✆
,th	θ
,thu	☳
,thz	㎔
,ti	丅
,ti	㆜
,tm	₮
,to	√
,tpp	₮
,tr	♣
,tr	♧
,ts	ㄘ
,tss	㈱
,tug	₮
,ty	✈
,tz	ㄗ
,tz	↧
,u	ㄨ
,u	ㄩ
,u	∪
,u	μ
,u	υ
,u	µ
,ua	厶
,ua	㎂
,uab	☹
,uab	☺
,uab	☻
,uao	☹
,uao	☺
,uao	☻
,ue	☽
,ue	☾
,uf	㎌
,ug	㎍
,ui	☎
,ui	☏
,ui	✆
,ul	㎕
,ul	☽
,ul	☾
,um	㎛
,und	✡
,us	ζ
,us	㎲
,usd	＄
,uv	㎶
,uw	㎼
,uz	↯
,v	」
,v	ˇ
,v	∠
,v	ν
,v	ㄪ
,v	✓
,v	✔
,v	∧
,v	∨
,vbd	∞
,ve	√
,ve	≤
,vg	︵
,vgg	︶
,vi	Ψ
,vr	≦
,vr	≧
,vv	﹁
,vv	﹂
,vv	丶
,vy	ㄪ
,v[	﹁
,v[[	︽
,v]	﹂
,v]]	︾
,w	５
,w	Ⅴ
,w	ㄨ
,w	ω
,w	♀
,w	ⅴ
,wa	幺
,wat	☵
,wb	㏝
,wd	☄
,we	￦
,win	☴
,wn	廴
,wo	♀
,won	₩
,won	￦
,wp	♨
,wpb	⅝
,wpl	⅚
,wr	₩
,wu	ㄨ
,wue	㋄
,w.	⒌
,x	ㄒ
,x	×
,x	〆
,x	╳
,x	〤
,x	χ
,x	ㄨ
,x	✕
,x	✖
,x	✗
,x	✘
,xf	※
,xi	﹡
,xi	＊
,xi	☚
,xi	☜
,xj	＊
,xo	☛
,xo	☞
,xs	✝
,xs	✞
,xs	✟
,xx	×
,xx	✕
,xx	✖
,xx	✗
,xx	✘
,xx	∃
,xx	∤
,xz	↛
,y	ㄧ
,ya	㆞
,yal	㆞
,ye	±
,yen	￥
,yen	¥
,yi	ㄧ
,yin	☯
,yr	￥
,yr	¥
,ys	✝
,ys	✞
,ys	✟
,yu	ㄩ
,yy	☯
,z	ㄗ
,z	↓
,z	↑
,z	→
,z	←
,z	↘
,z	↙
,z	↗
,z	↖
,ze	←
,zed	☺
,zed	☻
,zei	↤
,zez	↔
,zez	↢
,zez	↣
,zgn	☺
,zgn	☻
,zh	ㄓ
,zhi	ㄓ
,zi	↑
,zie	↥
,ziz	↨
,zj	↫
,zkj	卍
,zl	㆚
,zl	↥
,zl	↩
,zn	↖
,zo	♂
,zp	↗
,zs	↜
,zsz	↭
,zt	✈
,zty	✈
,zu	☺
,zu	☻
,zwz	↭
,zx	↚
,zxz	↮
,zz	卐
,zz	㆚
,zz	↯
,zze	↞
,zzi	↟
,zzj	卍
,,	「
,,	，
,,	〈
,,	＜
,,	﹤
,,	‘
,,	’
,,	《
,,v	」
,,,	《
,,,	«
,.	．
,.	‧
,.	〉
,.	＞
,.	﹥
,.	。
,.	ゝ
,.	、
,.r.	≒
,.r.	≑
,..	¨
,..	》
,..	»
,..	∶
,...	∵
,...	∴
,''	‘
,''	’
,''	‵
,''	′
,''	、
,''	丶
,''	＂
,''	＇
,''	，
,''''	“
,''''	”
,''''	〝
,''''	〞
,[	「
,[	｛
,[	〔
,[	【
,[	〈
,[	﹙
,[	﹛
,[	﹝
,[	＜
,[v	﹁
,[v	︻
,[v	︹
,[v	︷
,[v	︽
,[v	︿
,[v	ˆ
,[[	『
,[[	﹃
,[[	【
,[[	︻
,[[	《
,[[	︽
,[[	«
,[[v	︽
,[[v	﹃
,]	」
,]	｝
,]	〕
,]	】
,]	〉
,]	﹚
,]	﹜
,]	﹞
,]	＞
,]v	﹂
,]v	︼
,]v	︺
,]v	︸
,]v	︾
,]v	﹀
,]]	』
,]]	﹄
,]]	】
,]]	︼
,]]	》
,]]	︾
,]]	»
,]]v	︾
,]]v	﹄
.	。
.mp	彡
.oq	ⓠ
.,	；
..	：
..	‥
..	＋
..	－
..	×
..	÷
..	＝
..	》
...	…
...	∵
...	∴
''	、
''	．
''	‧
''	丶
''	＂
''	＇
''''	“
''''	〝
''''''	”
''''''	〞
''''''	＂
[	「
[	（
[	﹁
[	﹃
[	【
[	︻
[	︵
[v	（
[v	﹁
[v	︻
[v	︹
[v	︷
[v	︽
[v	︿
[v	︵
[vv	﹁
[[	『
[[	﹃
[[	【
[[	︻
[[	《
[[	︽
[[	«
[[v	﹃
[[v	︻
[[v	︽
]	」
]	）
]	﹂
]	﹄
]	】
]	︼
]	︶
]v	）
]v	﹂
]v	︼
]v	︺
]v	︸
]v	︾
]v	﹀
]v	︶
]vv	﹂
]]	』
]]	﹄
]]	】
]]	︼
]]	》
]]	︾
]]	»
]]v	﹄
]]v	︼
]]v	︾
''v	．
''''v	〝
''''''v	〞
,''v	’
,''''v	”
,,,v	«
,.v	‧
,..v	》
,...v	∴
,.r.v	≑
,[[vv	﹃
,[vv	︻
,]]vv	﹄
,]vv	︼
,av	ㄚ
,alv	♦
,auv	㍳
,bv	Ⅷ
,bdv	✂
,biv	阝
,bisv	♝
,brv	≦
,bsv	☉
,byv	☰
,cv	Ⅶ
,ccv	ℂ
,cev	₠
,chev	✔
,chiv	ㄑ
,civ	㆗
,cluv	♧
,cmv	₡
,cmmv	㎤
,cpv	¢
,crv	₢
,crov	✚
,dbv	☼
,dcv	ↁ
,dev	弌
,diav	♦
,dlv	㎗
,dov	☼
,dolv	﹩
,dpv	₯
,drv	弍
,dsv	☆
,dsev	★
,dwv	㍾
,ev	Ⅰ
,e.ev	﹎
,eev	彐
,eeev	﹍
,efv	▄
,ehv	♥
,eiv	ˆ
,elv	τ
,epv	∉
,erv	π
,esv	ξ
,eurv	₠
,fv	Ⅳ
,fav	☟
,facv	☺
,fbv	✚
,fev	☝
,fnv	■
,fquv	☾
,fyv	♢
,gbv	㈧
,gcv	㈦
,gev	㈠
,gfv	㈣
,ggvv	︼
,gjv	㈩
,gjrv	㉀
,gkv	㈨
,glv	㈥
,gnv	㆝
,gov	⒪
,gpav	㈹
,grsv	㈷
,gsv	㈢
,gsnv	㈻
,gvv	︻
,gwv	㈤
,gyv	✈
,hav	♡
,heav	♥
,hhv	♡
,hjv	☛
,hpv	㏋
,iv	∣
,jv	ㄐ
,jev	Ⅺ
,jjv	＃
,jjjv	﹟
,jndv	✚
,jrv	ⅻ
,kav	㎄
,kinv	♚
,kmv	㏎
,kmmv	㎦
,kniv	♞
,lv	Ⅵ
,lev	⊥
,lovv	♡
,lrv	≧
,mbv	㏔
,milv	₥
,mmv	㎡
,mmmv	㎣
,moov	☾
,mpsv	㎨
,msv	㎳
,muev	㎛
,mvv	㎷
,mwv	㎿
,nav	㎁
,nyv	宀
,nzv	↯
,oav	﹫
,obv	㊇
,obbv	㊮
,obuv	☻
,ocv	㊆
,ociv	㊥
,ocjv	㊥
,odv	ⓓ
,oev	㊀
,oekv	㉿
,oeov	㊉
,ogv	ⓖ
,ohv	ⓗ
,oiv	ⓘ
,ojv	㊉
,okv	㊈
,okev	㋘
,olv	㊅
,omv	ⓜ
,omuv	㋰
,onv	ⓝ
,onev	㋧
,oov	□
,opv	Ⓟ
,opov	﹪
,optv	㊡
,oriv	㋷
,orov	㋺
,orsv	㊗
,osv	㊂
,osav	㊕
,osnv	㊫
,otv	ⓣ
,ouv	Ⓤ
,ovv	ⓥ
,owv	㊄
,owav	㋻
,oxv	ⓧ
,ozv	ⓩ
,pav	㎩
,pawv	♟
,pcv	㍶
,pfv	☝
,piv	卩
,posv	〶
,ppv	〞
,prv	㏚
,pxv	夂
,qv	θ
,quev	♛
,rv	Ⅱ
,radv	㎮
,rev	＝
,roov	♜
,rsv	₨
,sav	ゞ
,sciv	✂
,shv	♥
,shiv	ㄒ
,siv	﹩
,snv	▽
,sov	∮
,spav	♤
,srv	♧
,ssv	ˇ
,stav	☆
,sunv	☉
,tv	┬
,telv	☎
,tiv	㆜
,trv	♧
,tzv	↧
,uav	㎂
,uabv	☺
,uaov	☺
,uev	☾
,uiv	☏
,ulv	☽
,usv	㎲
,vev	≤
,vrv	≧
,vvv	﹂
,wv	Ⅴ
,wonv	￦
,xv	×
,xiv	＊
,xov	☞
,xsv	✞
,xxv	✕
,yenv	¥
,yrv	¥
,ysv	✞
,zv	↓
,zedv	☻
,zezv	↢
,zgnv	☻
,zlv	↥
,zuv	☻
,zzv	㆚
..v	‥
...v	∵
[[vv	︻
]]vv	︼
aav	丶
aaav	龘
aafv	銭
aalv	釶
aatv	鉥
aaxv	釴
aayv	鋮
abv	鎭
abav	佘
abdv	鐠
abev	鉟
abewv	鐩
abiv	郕
abjv	銔
abkv	鉼
abnv	釟
abov	鏳
aborv	鋭
acav	蠪
accv	鋛
acewv	録
aciv	歛
acnv	鉠
acrv	剣
acsv	錬
adv	会
adav	會
adbv	鄶
adev	鋀
adkv	良
adkbv	郞
adnv	釱
adov	鈤
adpv	釖
aeav	鐞
aedv	龑
aelv	鋔
aenv	銕
aepv	鍚
aerv	侴
aewv	錄
aezv	鋢
afav	鑆
afbv	鏷
afev	盋
affv	錟
afkv	鋠
afnv	鉔
afov	鉕
afyv	鈁
aggv	銒
agnv	鋏
agov	銛
ahav	懟
ahrv	鏽
ahxv	鑀
ainv	歛
aixv	曵
ajbv	鎭
ajjv	錊
ajmbv	鎭
ajnfv	旉
ajqsv	錬
ajwpv	皳
akv	鐵
akav	鐄
akev	鈓
akjv	銒
akkv	錱
aklv	釚
akmv	鍎
akxv	釚
akzv	釚
alv	龍
albfv	鐮
alkv	銥
alnv	鈰
alnov	鎬
alov	礱
alqv	鐮
amcsv	鑭
amdv	鐧
amfv	驡
amjv	銏
amnv	鑭
amrv	鋧
anv	矣
anav	銶
anbv	鈞
ancv	鍕
anev	鍹
anfv	鷨
angv	錎
aniv	鍧
anov	錭
anuv	鈎
